exampleid,hsid,crawlid,t_scrape
109,411,15,2016-08-30 22:30:05.188558
110,320,15,2016-08-30 22:31:03.858037
111,544,15,2016-08-30 22:31:26.914455
112,96,15,2016-08-30 22:32:30.251749
113,875,15,2016-08-30 22:33:17.749923
114,290,15,2016-08-30 22:34:51.270225
115,102,15,2016-08-30 22:35:40.839102
116,839,15,2016-08-30 22:36:32.787005
117,709,15,2016-08-30 22:37:19.860657
118,213,15,2016-08-30 22:37:52.278511
119,845,15,2016-08-30 22:38:37.661102
120,244,15,2016-08-30 22:40:26.709460
121,615,15,2016-08-30 22:40:51.132066
122,205,15,2016-08-30 22:43:19.256353
123,827,15,2016-08-30 22:45:33.937732
124,390,15,2016-08-30 22:46:14.949215
125,206,15,2016-08-30 22:46:52.078112
126,289,15,2016-08-30 22:48:33.520804
127,679,15,2016-08-30 22:51:14.904792
128,474,15,2016-08-30 22:52:52.798694
129,43,15,2016-08-30 22:54:25.750592
130,116,15,2016-08-30 22:58:08.868379
131,280,15,2016-08-30 22:58:36.651249
132,658,15,2016-08-30 23:00:48.206167
133,62,15,2016-08-30 23:06:33.450300
134,570,15,2016-08-30 23:07:21.184424
135,712,15,2016-08-30 23:09:50.427272
136,721,15,2016-08-30 23:10:24.226451
137,831,15,2016-08-30 23:10:49.233563
138,273,15,2016-08-30 23:11:29.740661
139,675,15,2016-08-30 23:11:52.058539
140,305,15,2016-08-30 23:12:25.289290
141,38,15,2016-08-30 23:13:17.942026
142,378,15,2016-08-30 23:14:34.921171
143,169,15,2016-08-30 23:18:05.622281
144,109,15,2016-08-30 23:19:14.254763
145,148,15,2016-08-30 23:19:44.858413
146,791,15,2016-08-30 23:20:13.551464
147,126,15,2016-08-30 23:20:36.024862
148,60,15,2016-08-30 23:21:24.848961
149,780,15,2016-08-30 23:23:48.993722
150,77,15,2016-08-30 23:26:55.117502
151,330,15,2016-08-30 23:29:49.852830
152,792,15,2016-08-30 23:36:08.188668
153,295,15,2016-08-30 23:40:30.990401
154,159,15,2016-08-30 23:43:54.351056
155,592,15,2016-08-30 23:45:39.568742
156,351,15,2016-08-30 23:46:33.578689
157,892,15,2016-08-30 23:51:43.181858
158,895,15,2016-08-30 23:52:36.726009
159,883,15,2016-08-30 23:53:37.271168
160,885,15,2016-08-30 23:54:35.421282
161,884,15,2016-08-30 23:59:44.620416
162,894,15,2016-08-31 00:01:43.224718
163,891,15,2016-08-31 00:02:47.630202
164,889,15,2016-08-31 00:03:51.028788
165,887,15,2016-08-31 00:04:56.462183
166,898,15,2016-08-31 00:06:01.419273
167,897,15,2016-08-31 00:06:53.521682
168,890,15,2016-08-31 00:07:45.773355
169,893,15,2016-08-31 00:08:57.322025
170,899,15,2016-08-31 00:09:57.373392
171,888,15,2016-08-31 00:11:19.972003
172,886,15,2016-08-31 00:12:43.424298
173,896,15,2016-08-31 00:13:30.721619
174,331,15,2016-08-31 00:14:32.329475
175,708,15,2016-08-31 00:15:40.029141
176,67,15,2016-08-31 00:17:14.390584
177,216,15,2016-08-31 00:17:51.688554
178,573,15,2016-08-31 00:18:34.553950
179,781,15,2016-08-31 00:20:49.703339
180,659,15,2016-08-31 00:21:18.434023
181,342,15,2016-08-31 00:22:44.467278
182,79,15,2016-08-31 00:24:18.427152
183,337,15,2016-08-31 00:24:48.822835
184,483,15,2016-08-31 00:26:39.038272
185,629,15,2016-08-31 00:27:06.950650
186,353,15,2016-08-31 00:29:03.574952
187,569,15,2016-08-31 00:30:52.266977
188,174,15,2016-08-31 00:32:47.297664
189,415,15,2016-08-31 00:33:40.550936
190,424,15,2016-08-31 00:35:17.640857
191,84,15,2016-08-31 00:41:12.424253
192,732,15,2016-08-31 00:41:41.804777
193,232,15,2016-08-31 00:42:33.743131
194,302,15,2016-08-31 00:44:04.390503
195,133,15,2016-08-31 00:45:38.562013
196,436,15,2016-08-31 00:51:59.684550
197,300,15,2016-08-31 00:53:35.966624
198,593,15,2016-08-31 00:55:17.777963
199,810,15,2016-08-31 00:56:34.547208
200,31,15,2016-08-31 00:57:04.684822
201,888,15,2016-08-31 00:57:40.941418
202,402,15,2016-08-31 00:58:36.318308
203,665,15,2016-08-31 01:00:10.871062
204,76,15,2016-08-31 01:04:51.867198
205,127,15,2016-08-31 01:06:14.301932
206,429,15,2016-08-31 01:06:44.532175
207,30,15,2016-08-31 01:07:15.667467
208,323,15,2016-08-31 01:08:20.671099
