cellid,exampleid,ingoing,circuit,stream,command,length,t_trace
42020,109,False,2153920684,0,EXTEND2(14),119,1472610591.236516
42021,109,True,2153920684,0,EXTENDED2(15),66,1472610591.704975
42022,109,False,2153920684,15125,BEGIN_DIR(13),0,1472610591.705523
42023,109,False,2153920684,15125,DATA(2),91,1472610591.705586
42024,109,True,2153920684,15125,CONNECTED(4),0,1472610592.208802
42025,109,True,2153920684,15125,DATA(2),498,1472610592.326807
42026,109,True,2153920684,15125,DATA(2),498,1472610592.406093
42027,109,True,2153920684,15125,DATA(2),498,1472610592.406203
42028,109,True,2153920684,15125,DATA(2),498,1472610592.406245
42029,109,True,2153920684,15125,DATA(2),498,1472610592.485458
42030,109,True,2153920684,15125,DATA(2),498,1472610592.48558
42031,109,True,2153920684,15125,DATA(2),450,1472610592.56471
42032,109,True,2153920684,15125,END(3),1,1472610592.564836
42033,109,False,3773114191,0,ESTABLISH_RENDEZVOUS(33),20,1472610592.565504
42034,109,False,4183908917,0,EXTEND2(14),119,1472610592.715563
42035,109,False,2465813802,0,EXTEND2(14),119,1472610592.83851
42036,109,True,3773114191,0,RENDEZVOUS_ESTABLISHED(39),0,1472610592.931076
42037,109,True,4183908917,0,EXTENDED2(15),66,1472610593.050655
42038,109,False,4183908917,0,EXTEND2(14),119,1472610593.051037
42039,109,True,2465813802,0,EXTENDED2(15),66,1472610593.152413
42040,109,False,2465813802,0,EXTEND2(14),119,1472610593.152772
42041,109,True,4183908917,0,EXTENDED2(15),66,1472610593.38223
42042,109,False,3718780888,0,EXTEND2(14),119,1472610593.750569
42043,109,True,3718780888,0,EXTENDED2(15),66,1472610594.040556
42044,109,False,3718780888,0,EXTEND2(14),119,1472610594.041266
42045,109,True,2465813802,0,EXTENDED2(15),66,1472610594.180775
42046,109,False,2465813802,0,EXTEND(6),212,1472610594.181462
42047,109,True,3718780888,0,EXTENDED2(15),66,1472610594.371777
42048,109,True,2465813802,0,EXTENDED(7),148,1472610594.731066
42049,109,False,2465813802,0,INTRODUCE1(34),400,1472610594.732689
42050,109,True,2465813802,0,INTRODUCE_ACK(40),0,1472610595.231559
42051,109,True,3773114191,0,RENDEZVOUS2(37),148,1472610595.374737
42052,109,False,3773114191,10201,BEGIN(1),4,1472610595.375228
42053,109,False,3773114191,10201,DATA(2),289,1472610595.375392
42054,109,True,3773114191,10201,CONNECTED(4),0,1472610595.81644
42055,109,True,3773114191,10201,DATA(2),498,1472610596.99171
